Education_Level,Marital_Status,Disposable_Income,No_of_Kids_in_home,No_of_Teen_in_home,Recency,Discounted_Purchases,WebPurchases,CatalogPurchases,StorePurchases,Amount_on_Wines,Amount_on_Fruits,Amount_on_MeatProducts,Amount_on_FishProducts,Amount_on_SweetProducts,Amount_on_GoldProds,WebVisitsMonth,Cmp3Accepted,Cmp4Accepted,Cmp5Accepted,Cmp1Accepted,Cmp2Accepted,Any_Complain,Response,Age,no_of_years_joined,avg_web_purchased,month_joined,week_recency,stra_kfold
0.1433915211970075,0.20125786163522014,77504.4,1,1,56,2,1,1,4,71,3,16,0,6,20,3,0,0,0,0,0,0,0,66,7,0.14285714285714285,6,8.0,5
0.1433915211970075,0.10024449877750612,56784.0,0,1,17,6,5,1,8,205,22,111,50,15,19,6,0,0,0,0,0,0,0,63,8,0.625,1,2.4285714285714284,0
0.1433915211970075,0.21580547112462006,103714.8,0,0,17,0,7,4,7,469,31,873,29,18,37,2,0,0,0,1,0,0,1,59,8,0.875,11,2.4285714285714284,1
0.09859154929577464,0.21580547112462006,46311.6,1,0,49,3,4,1,3,56,15,49,17,24,24,8,0,0,0,0,0,0,0,42,8,0.5,9,7.0,3
0.1433915211970075,0.12682926829268293,87486.0,0,0,59,1,3,7,9,412,117,445,181,165,203,1,0,0,0,1,0,0,0,62,7,0.42857142857142855,1,8.428571428571429,1
0.15447154471544716,0.12682926829268293,41090.4,0,1,32,1,0,0,3,13,5,4,0,0,1,5,0,0,0,0,0,0,0,61,7,0.0,3,4.571428571428571,0
0.1433915211970075,0.21580547112462006,86673.59999999999,0,0,94,1,6,7,8,636,31,491,30,14,56,3,0,0,0,0,0,0,0,68,9,0.6666666666666666,11,13.428571428571429,6
0.1433915211970075,0.10024449877750612,88711.2,0,0,61,1,6,5,12,632,94,597,159,91,15,3,0,0,0,0,0,0,0,47,8,0.75,2,8.714285714285714,6
0.1433915211970075,0.10024449877750612,35606.4,1,1,13,1,0,0,3,14,4,3,0,4,8,6,0,0,0,0,0,0,0,55,8,0.0,12,1.8571428571428572,4
0.1433915211970075,0.12682926829268293,41305.2,1,0,88,1,1,0,2,8,6,7,6,2,9,7,0,0,0,0,0,0,0,46,8,0.125,1,12.571428571428571,1
0.1433915211970075,0.12682926829268293,31473.6,1,0,57,1,1,0,2,7,9,4,3,1,9,8,0,0,0,0,0,0,0,47,8,0.125,9,8.142857142857142,2
0.1433915211970075,0.21580547112462006,82386.0,0,0,102,1,4,5,11,461,22,832,75,118,38,3,0,0,0,0,0,0,0,32,9,0.4444444444444444,10,14.571428571428571,6
0.1433915211970075,0.12682926829268293,56080.8,0,1,47,2,6,1,5,115,8,137,26,23,29,7,0,0,0,0,0,0,0,66,9,0.6666666666666666,11,6.714285714285714,2
0.1433915211970075,0.10024449877750612,51103.2,1,1,14,5,4,1,6,199,5,56,0,0,0,8,0,0,0,0,0,0,1,65,9,0.4444444444444444,10,2.0,2
0.09859154929577464,0.21580547112462006,49989.6,1,1,37,2,1,1,2,13,7,12,15,4,29,4,0,0,0,0,0,0,0,45,9,0.1111111111111111,9,5.285714285714286,3
0.1433915211970075,0.10024449877750612,31309.2,1,1,91,3,2,1,3,20,13,19,8,17,20,5,0,0,0,0,0,0,0,63,7,0.2857142857142857,2,13.0,0
0.1433915211970075,0.21580547112462006,65763.59999999999,0,1,72,2,6,2,9,409,3,92,28,27,142,4,0,0,0,0,0,0,0,51,9,0.6666666666666666,8,10.285714285714286,0
0.15447154471544716,0.21580547112462006,76766.4,0,1,100,4,5,4,10,933,66,254,0,12,12,4,0,1,0,0,0,0,0,56,9,0.5555555555555556,2,14.285714285714286,5
0.1433915211970075,0.12682926829268293,47227.2,1,1,28,1,1,0,2,20,3,2,0,0,6,6,1,0,0,0,0,0,0,44,7,0.14285714285714285,3,4.0,1
0.09859154929577464,0.21580547112462006,102582.0,0,0,80,1,6,6,6,635,29,611,44,18,54,2,0,0,0,0,0,0,0,62,7,0.8571428571428571,6,11.428571428571429,5
0.15447154471544716,0.10024449877750612,36672.0,1,0,13,1,1,0,3,14,4,5,4,5,7,7,0,0,0,0,0,0,0,44,8,0.125,6,1.8571428571428572,4
